Svalbard,06/01/2024 02:46:33,06/01/2024 02:47:56
Svalbard,06/01/2024 04:25:13,06/01/2024 04:26:36
Fairbanks,06/01/2024 04:35:04,06/01/2024 04:36:30
Troll,06/01/2024 07:01:16,06/01/2024 07:03:20
Troll,06/01/2024 08:38:52,06/01/2024 08:41:17
Troll,06/01/2024 13:30:30,06/01/2024 13:32:11
Fairbanks,06/01/2024 14:15:59,06/01/2024 14:16:31
Troll,06/01/2024 15:07:47,06/01/2024 15:09:57
Troll,06/01/2024 16:48:06,06/01/2024 16:48:23
Svalbard,06/01/2024 17:43:54,06/01/2024 17:45:28
Svalbard,06/01/2024 19:22:19,06/01/2024 19:23:43
Punta Arenas,06/01/2024 21:38:04,06/01/2024 21:40:05
Svalbard,06/02/2024 01:53:26,06/02/2024 01:53:45
Svalbard,06/02/2024 01:53:45,06/02/2024 01:54:52
Svalbard,06/02/2024 03:31:28,06/02/2024 03:32:36
Fairbanks,06/02/2024 03:42:14,06/02/2024 03:43:18
Troll,06/02/2024 06:08:01,06/02/2024 06:10:37
Troll,06/02/2024 07:46:17,06/02/2024 07:48:43
Troll,06/02/2024 09:24:14,06/02/2024 09:25:42
Punta Arenas,06/02/2024 11:10:27,06/02/2024 11:12:35
Troll,06/02/2024 14:15:01,06/02/2024 14:17:30
Fairbanks,06/02/2024 15:01:03,06/02/2024 15:02:41
Troll,06/02/2024 15:53:02,06/02/2024 15:55:08
Svalbard,06/02/2024 16:50:36,06/02/2024 16:52:23
Svalbard,06/02/2024 18:29:18,06/02/2024 18:30:12
Punta Arenas,06/02/2024 20:45:30,06/02/2024 20:47:21
Svalbard,06/03/2024 02:38:51,06/03/2024 02:40:20
Svalbard,06/03/2024 04:17:25,06/03/2024 04:19:06
Fairbanks,06/03/2024 04:27:46,06/03/2024 04:28:36
Troll,06/03/2024 06:53:39,06/03/2024 06:55:45
Troll,06/03/2024 08:31:17,06/03/2024 08:33:47
Punta Arenas,06/03/2024 11:55:57,06/03/2024 11:57:04
Troll,06/03/2024 13:23:06,06/03/2024 13:24:33
Fairbanks,06/03/2024 14:08:26,06/03/2024 14:09:27
Troll,06/03/2024 15:00:04,06/03/2024 15:02:31
Troll,06/03/2024 16:39:54,06/03/2024 16:40:46
Svalbard,06/03/2024 17:36:23,06/03/2024 17:37:43
Svalbard,06/03/2024 19:14:49,06/03/2024 19:16:02
Punta Arenas,06/03/2024 21:30:29,06/03/2024 21:32:30
Svalbard,06/04/2024 01:46:03,06/04/2024 01:47:22
Svalbard,06/04/2024 03:24:19,06/04/2024 03:25:48
Fairbanks,06/04/2024 03:34:05,06/04/2024 03:36:13
Troll,06/04/2024 06:02:42,06/04/2024 06:03:00
Troll,06/04/2024 07:38:46,06/04/2024 07:41:06
Troll,06/04/2024 09:16:36,06/04/2024 09:18:18
Punta Arenas,06/04/2024 11:02:55,06/04/2024 11:04:57
Troll,06/04/2024 14:07:31,06/04/2024 14:09:56
Fairbanks,06/04/2024 14:53:24,06/04/2024 14:53:59
Troll,06/04/2024 15:45:28,06/04/2024 15:47:31
Svalbard,06/04/2024 16:43:05,06/04/2024 16:44:36
Svalbard,06/04/2024 18:21:46,06/04/2024 18:23:13
Punta Arenas,06/04/2024 20:38:26,06/04/2024 20:39:23
Svalbard,06/05/2024 02:31:11,06/05/2024 02:32:06
Svalbard,06/05/2024 04:09:39,06/05/2024 04:11:34
Fairbanks,06/05/2024 04:19:58,06/05/2024 04:21:12
Troll,06/05/2024 06:46:02,06/05/2024 06:48:11
Troll,06/05/2024 08:23:43,06/05/2024 08:26:16
Punta Arenas,06/05/2024 11:48:02,06/05/2024 11:49:57
Troll,06/05/2024 13:15:44,06/05/2024 13:16:53
Fairbanks,06/05/2024 14:00:43,06/05/2024 14:00:58
Troll,06/05/2024 14:52:29,06/05/2024 14:54:59
Troll,06/05/2024 16:31:28,06/05/2024 16:33:08
Svalbard,06/05/2024 17:28:54,06/05/2024 17:29:56
Svalbard,06/05/2024 19:07:21,06/05/2024 19:08:19
Punta Arenas,06/05/2024 21:22:49,06/05/2024 21:24:58
Svalbard,06/06/2024 01:38:22,06/06/2024 01:39:52
Svalbard,06/06/2024 03:16:36,06/06/2024 03:18:16
Fairbanks,06/06/2024 03:26:38,06/06/2024 03:28:23
Troll,06/06/2024 07:31:16,06/06/2024 07:33:28
Troll,06/06/2024 09:08:59,06/06/2024 09:10:52
Punta Arenas,06/06/2024 10:55:19,06/06/2024 10:57:21
Troll,06/06/2024 14:00:02,06/06/2024 14:02:21
Fairbanks,06/06/2024 14:46:04,06/06/2024 14:47:27
Troll,06/06/2024 15:37:53,06/06/2024 15:39:56
Svalbard,06/06/2024 16:35:37,06/06/2024 16:36:45
Svalbard,06/06/2024 18:14:15,06/06/2024 18:15:31
Svalbard,06/07/2024 02:23:32,06/07/2024 02:23:52
Svalbard,06/07/2024 02:23:53,06/07/2024 02:24:57
Svalbard,06/07/2024 04:01:55,06/07/2024 04:04:00
Fairbanks,06/07/2024 04:12:49,06/07/2024 04:13:09
Troll,06/07/2024 06:38:22,06/07/2024 06:40:38
Troll,06/07/2024 08:16:10,06/07/2024 08:18:44
Punta Arenas,06/07/2024 11:40:18,06/07/2024 11:42:38
Troll,06/07/2024 13:08:25,06/07/2024 13:09:10
Troll,06/07/2024 14:44:54,06/07/2024 14:47:27
Troll,06/07/2024 16:22:59,06/07/2024 16:25:30
Svalbard,06/07/2024 17:21:07,06/07/2024 17:21:40
Svalbard,06/07/2024 18:59:27,06/07/2024 18:59:49
Svalbard,06/07/2024 18:59:56,06/07/2024 19:00:32
Punta Arenas,06/07/2024 21:15:17,06/07/2024 21:17:23
Svalbard,06/08/2024 01:30:43,06/08/2024 01:31:20
Svalbard,06/08/2024 03:08:55,06/08/2024 03:10:22
Fairbanks,06/08/2024 03:19:21,06/08/2024 03:20:24
Troll,06/08/2024 07:23:43,06/08/2024 07:25:52
Troll,06/08/2024 09:01:22,06/08/2024 09:03:26
Punta Arenas,06/08/2024 10:47:38,06/08/2024 10:49:50
Troll,06/08/2024 13:52:33,06/08/2024 13:54:46
Fairbanks,06/08/2024 14:38:23,06/08/2024 14:38:48
Troll,06/08/2024 15:30:19,06/08/2024 15:32:20
Svalbard,06/08/2024 16:28:20,06/08/2024 16:28:44
Svalbard,06/08/2024 18:06:46,06/08/2024 18:07:46
Punta Arenas,06/08/2024 22:02:18,06/08/2024 22:02:54
Svalbard,06/09/2024 02:16:10,06/09/2024 02:17:27
Svalbard,06/09/2024 03:54:13,06/09/2024 03:56:14
Fairbanks,06/09/2024 04:04:47,06/09/2024 04:05:57
Troll,06/09/2024 06:30:42,06/09/2024 06:33:06
Troll,06/09/2024 08:08:37,06/09/2024 08:11:11
Punta Arenas,06/09/2024 11:32:41,06/09/2024 11:35:11
Troll,06/09/2024 14:37:20,06/09/2024 14:39:55
Fairbanks,06/09/2024 15:24:09,06/09/2024 15:25:37
Troll,06/09/2024 16:15:26,06/09/2024 16:17:51
Svalbard,06/09/2024 17:13:00,06/09/2024 17:14:42
